Log file created on 2020-01-16 15:31:57.143428

aug : None
aug_size : 50000
batch_size : 128
dataset : cifar100
device : cuda:0
epochs : 600
learning_rate : 0.1
lr_decay_epochs : [200, 300, 400, 500]
lr_decay_rate : 0.1
model : resnet20
model_name : resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
model_path : ./save/models_t
momentum : 0.9
num_workers : 8
print_freq : 50
save_folder : ./save/models_t/resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
save_freq : 40
tb_freq : 500
trial : 0
weight_decay : 0.0005

Epoch: 62, l_xent: 1.5380, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.71, acc_test: 47.90, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:43:49.021582
Epoch: 63, l_xent: 1.5334, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.46, acc_test: 48.62, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:44:00.769770
Epoch: 64, l_xent: 1.5428, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.49, acc_test: 46.89, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:44:12.372846
Epoch: 65, l_xent: 1.5224, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.03, acc_test: 46.34, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:44:23.988748
Epoch: 66, l_xent: 1.5387, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.30, acc_test: 45.07, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:44:35.580807
Epoch: 67, l_xent: 1.5339, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.24, acc_test: 49.09, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:44:47.313313
Epoch: 68, l_xent: 1.5311, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.58, acc_test: 49.65, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:44:58.938302
Epoch: 69, l_xent: 1.5278, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.81, acc_test: 45.42, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:45:10.597753
Epoch: 70, l_xent: 1.5235, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.89, acc_test: 42.10, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:45:22.210012
Epoch: 71, l_xent: 1.5361, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.75, acc_test: 47.38, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:45:33.906790
Epoch: 72, l_xent: 1.5207, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.93, acc_test: 47.85, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:45:45.540301
Epoch: 73, l_xent: 1.5207, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.77, acc_test: 45.90, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:45:57.189438
Epoch: 74, l_xent: 1.5258, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.88, acc_test: 48.61, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:46:08.951720
Epoch: 75, l_xent: 1.5189, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.62, acc_test: 48.97, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:46:20.514371
Epoch: 76, l_xent: 1.5240, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.90, acc_test: 46.38, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:46:32.137752
Epoch: 77, l_xent: 1.5246, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.88, acc_test: 46.79, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:46:43.725353
Epoch: 78, l_xent: 1.5209, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.86, acc_test: 48.09, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:46:55.509743
